msg.vmui.linux.updates.startup.description	%s 启动时，检查该应用程序和已安装软件组件的新版本。
msg.vmui.linux.updates.startup.accel	启动时检查产品更新(_U)
msg.vmui.linux.updates.components.description	需要软件组件时（例如安装 %s），检查该组件的新版本。
msg.vmui.linux.updates.components.accel	需要时检查软件组件(_O)
msg.vmui.linux.updates.ServerSettings.accel	连接设置(_N)
msg.vmui.linux.app.unableToOpenCorruptVMX	无法将 %s 作为虚拟机打开：\n\n%s
msg.vmui.linux.app.unableToOpenPeriod.STR	无法打开：%s。
msg.vmui.linux.app.unableToOpenPeriod.STRSTR	无法打开“%s”：%s。
msg.vmui.linux.cnxIsOpenInAnotherPeriod	“%s”已在另一个窗口中打开。
msg.vmui.linux.unableToAddVirtualPeriod	无法将虚拟机“%s”添加到库：%s。
msg.vmui.linux.app.localCnxInterrupted	与 %s Server 的连接意外丢失。
msg.vmui.linux.app.remoteCnxInterrupted	与 %s 的连接意外丢失。
msg.vmui.linux.ovfToolRunningCannotExit	在下载、上载、导入或导出虚拟机期间，%s 无法退出。请取消所有操作并重试。
msg.vmui.linux.busyVMCannotBeClosed	虚拟机忙时无法关闭“%s”。
msg.vmui.linux.quitPrompt.single	“%s”仍处于开机状态。\n\n您可以继续在后台运行它，或现在关闭其电源。
msg.vmui.linux.quitPrompt.singleSuspend	“%s”仍处于开机状态。\n\n您可以继续在后台运行它、挂起以便稍后使用，或现在关闭其电源。
msg.vmui.linux.quitPrompt.multiple	某些虚拟机仍处于开机状态。\n\n您可以继续在后台运行这些虚拟机，或现在关闭它们的电源。
msg.vmui.linux.quitPrompt.multipleSuspend	某些虚拟机仍处于开机状态。\n\n您可以继续在后台运行这些虚拟机、挂起以便稍后使用，或现在关闭它们的电源。
msg.vmui.linux.warningYouAreAttemptingPeriod	警告：您正尝试在操作仍在运行时退出。要强制退出吗？如果选择退出，您的首选项将不会被保存。
msg.vmui.linux.invalidVmrcUrlFmt	%s：URL 无效：%s\n
msg.vmui.linux.connectToHost	连接到服务器
msg.vmui.linux.ChgHostDlg.SelectThe	选择要连接到的远程服务器。该服务器可以运行 VMware ESX 或 VMware vCenter Server。
msg.vmui.linux.connectDlg.hostname	服务器名称(_S)：
msg.vmui.linux.connectDlg.vcdserver	服务器(_S)：
msg.vmui.linux.connectDlg.organization	组织(_O)：
msg.vmui.linux.connectDlg.username	用户名(_U)：
msg.vmui.linux.connectDlg.password	密码(_P)：
msg.vmui.linux.openVirtualMachines	打开虚拟机
msg.vmui.linux.unableToBrowseFor	无法浏览虚拟机：%s
msg.vmui.linux.unableToBrowseForPeriod	无法浏览虚拟机。
msg.vmui.linux.open.errorConvertingPath	将路径转换为 UTF-8 时出错
msg.vmui.linux.cnxTab.username	用户名(_U)：
msg.vmui.linux.cnxTab.password	密码(_P)：
msg.vmui.linux.tab.resume	恢复(_R)
msg.vmui.linux.poweredOn	已开机
msg.vmui.linux.tab.resumeEllipsis	正在恢复...
msg.vmui.linux.tab.powerOn	开机(_P)
msg.vmui.linux.tab.powerOnEllipsis	正在开机...
msg.vmui.linux.menu.vmPower	电源(_P)
msg.vmui.linux.powerOff.accel	关机(_W)
