msg.ui.tab.encrypted.authFailed	密码不正确。
msg.ui.dlgFirstTime.title	欢迎使用 VMware Workstation
msg.ui.linux.optConfigurationFiles	[配置文件]
msg.ui.linux.optNewWindow	打开新窗口
msg.ui.linux.optCloseAtPowerOff	关闭电源时关闭配置文件
msg.ui.linux.optNewTab	在新选项卡中打开配置文件
msg.ui.linux.optVersion	输出版本信息并退出
msg.ui.linux.optPowerOn	打开配置文件时开启电源
msg.ui.linux.optPowerOnFullscreen	开启电源并进入全屏模式
msg.ui.linux.optGeometryArgs	geometry
msg.ui.linux.optGeometry	指定窗口几何尺寸
msg.ui.snapshotmanager.snapshot.goto.label	转到快照(_G)
msg.ui.snapshotmanager.autoProtectSettings.label	自动保护设置(_A)...
msg.ui.snapshotmanager.snapshotAndRecording.take.tooltip	拍摄此虚拟机当前状态的快照
msg.ui.snapshotmanager.snapshotAndRecording.take.label	拍摄此虚拟机的快照(_T)...
msg.ui.snapshotmanager.snapshotAndRecording.take.shortlabel	拍摄快照(_T)
msg.ui.snapshotmanager.snapshotAndRecording.clone.tooltip	克隆虚拟机
msg.ui.snapshotmanager.snapshotAndRecording.clone.shortlabel	克隆(_C)
msg.ui.snapshotmanager.snapshot.delete.tooltip	删除所选快照
msg.ui.snapshotmanager.snapshot.delete.shortlabel	删除(_D)
msg.ui.snapshotmanager.snapshotAndRecording.keep.tooltip	将所选自动保护快照转换为普通快照
msg.ui.snapshotmanager.snapshotAndRecording.keep.shortlabel	保留(_K)
msg.ui.snapshotmanager.selectall.label	全选(_A)
msg.ui.snapshotmanager.zoomin.tooltip	放大
msg.ui.snapshotmanager.zoomin.label	放大
msg.ui.snapshotmanager.zoomout.tooltip	缩小
msg.ui.snapshotmanager.zoomout.label	缩小
msg.ui.snapshotmanager.snapshot.delete.label	删除快照(_D)
msg.ui.snapshotmanager.snapshot.delete.toolip	删除所选快照
msg.ui.snapshotmanager.snapshot.deleteChildren.label	删除快照及其子项(_N)
msg.ui.snapshotmanager.snapshot.delete.label.plural	删除快照(_D)
msg.ui.snapshotmanager.snapshot.delete.toolip.plural	删除所选快照
msg.ui.snapshotmanager.snapshot.deleteChildren.label.plural	删除快照及其子项(_N)
msg.ui.snapshotmanager.recording.delete.label	删除录制(_D)
msg.ui.snapshotmanager.recording.delete.tooltip	删除所选录制
msg.ui.snapshotmanager.recording.deleteChildren.label	删除录制及其子项(_N)
msg.ui.snapshotmanager.recording.delete.label.plural	删除录制(_D)
msg.ui.snapshotmanager.recording.delete.tooltip.plural	删除所选录制
msg.ui.snapshotmanager.recording.deleteChildren.label.plural	删除录制及其子项(_N)
msg.ui.snapshotmanager.snapshotAndRecording.delete.label.plural	删除快照和录制(_D)
msg.ui.snapshotmanager.snapshotAndRecording.delete.tooltip.plural	删除所选快照和录制
msg.ui.snapshotmanager.snapshotAndRecording.deleteChildren.label.plural	删除快照/录制及其子项(_N)
msg.ui.snapshotmanager.snapshot.keep.label	保留此自动保护快照(_K)
msg.ui.snapshotmanager.snapshot.keep.label.plural	保留这些自动保护快照(_K)
msg.ui.snapshotmanager.clone.snapshot.label	克隆此快照(_C)...
msg.ui.snapshotmanager.clone.vm.label	克隆此虚拟机(_C)...
msg.ui.linux.taskList.state.queued	等待中
msg.ui.linux.taskList.state.running	进行中
msg.ui.linux.taskList.state.completed	已完成
msg.ui.vm.captureScreen.screenshotErrorPNG	截取虚拟机屏幕时发生未知错误。PNG 缓冲区已损坏。
msg.ui.vm.captureScreen.title	捕获屏幕
msg.ui.vm.captureScreen.clipboardDiskSuccessFmt	屏幕截图已保存到主机剪贴板和主机的 %s 文件夹。\n
